x,y
9.260000000000000000e+02,9.490000000000000000e+02
9.760000000000000000e+02,9.530000000000000000e+02
1.025000000000000000e+03,9.560000000000000000e+02
1.077000000000000000e+03,9.610000000000000000e+02
1.127000000000000000e+03,9.640000000000000000e+02
1.176000000000000000e+03,9.690000000000000000e+02
1.228000000000000000e+03,9.710000000000000000e+02
1.279000000000000000e+03,9.760000000000000000e+02
1.331000000000000000e+03,9.800000000000000000e+02
1.383000000000000000e+03,9.840000000000000000e+02
1.436000000000000000e+03,9.880000000000000000e+02
1.489000000000000000e+03,9.900000000000000000e+02
1.542000000000000000e+03,9.950000000000000000e+02
1.596000000000000000e+03,9.990000000000000000e+02
1.648000000000000000e+03,1.001000000000000000e+03
1.701000000000000000e+03,1.004000000000000000e+03
1.753000000000000000e+03,1.009000000000000000e+03
1.804000000000000000e+03,1.012000000000000000e+03
1.859000000000000000e+03,1.015000000000000000e+03
1.911000000000000000e+03,1.018000000000000000e+03
