x,y
4.690000000000000000e+02,7.030000000000000000e+02
4.990000000000000000e+02,7.080000000000000000e+02
5.350000000000000000e+02,7.120000000000000000e+02
5.700000000000000000e+02,7.140000000000000000e+02
6.010000000000000000e+02,7.180000000000000000e+02
6.400000000000000000e+02,7.130000000000000000e+02
6.740000000000000000e+02,7.160000000000000000e+02
7.060000000000000000e+02,7.200000000000000000e+02
7.390000000000000000e+02,7.240000000000000000e+02
7.750000000000000000e+02,7.240000000000000000e+02
8.070000000000000000e+02,7.200000000000000000e+02
8.140000000000000000e+02,7.170000000000000000e+02
8.060000000000000000e+02,7.160000000000000000e+02
7.820000000000000000e+02,7.140000000000000000e+02
7.590000000000000000e+02,7.140000000000000000e+02
7.300000000000000000e+02,7.130000000000000000e+02
6.950000000000000000e+02,7.080000000000000000e+02
6.660000000000000000e+02,7.110000000000000000e+02
6.220000000000000000e+02,7.020000000000000000e+02
5.700000000000000000e+02,6.850000000000000000e+02
5.280000000000000000e+02,6.790000000000000000e+02
4.830000000000000000e+02,6.720000000000000000e+02
4.430000000000000000e+02,6.720000000000000000e+02
4.060000000000000000e+02,6.790000000000000000e+02
3.680000000000000000e+02,6.930000000000000000e+02
3.310000000000000000e+02,7.050000000000000000e+02
2.920000000000000000e+02,7.190000000000000000e+02
2.500000000000000000e+02,7.240000000000000000e+02
2.120000000000000000e+02,7.260000000000000000e+02
1.820000000000000000e+02,7.390000000000000000e+02
1.640000000000000000e+02,7.700000000000000000e+02
1.650000000000000000e+02,7.910000000000000000e+02
1.820000000000000000e+02,7.970000000000000000e+02
2.010000000000000000e+02,7.960000000000000000e+02
2.370000000000000000e+02,7.970000000000000000e+02
2.850000000000000000e+02,7.910000000000000000e+02
3.340000000000000000e+02,7.840000000000000000e+02
3.840000000000000000e+02,7.860000000000000000e+02
4.350000000000000000e+02,7.880000000000000000e+02
4.760000000000000000e+02,7.880000000000000000e+02
5.110000000000000000e+02,7.900000000000000000e+02
5.500000000000000000e+02,7.930000000000000000e+02
5.890000000000000000e+02,7.940000000000000000e+02
6.220000000000000000e+02,7.920000000000000000e+02
6.570000000000000000e+02,7.910000000000000000e+02
6.950000000000000000e+02,7.890000000000000000e+02
7.270000000000000000e+02,7.920000000000000000e+02
7.640000000000000000e+02,7.910000000000000000e+02
8.050000000000000000e+02,7.890000000000000000e+02
8.110000000000000000e+02,7.240000000000000000e+02
8.540000000000000000e+02,7.660000000000000000e+02
8.410000000000000000e+02,7.690000000000000000e+02
8.150000000000000000e+02,7.670000000000000000e+02
7.770000000000000000e+02,7.680000000000000000e+02
7.390000000000000000e+02,7.610000000000000000e+02
7.020000000000000000e+02,7.540000000000000000e+02
6.640000000000000000e+02,7.420000000000000000e+02
6.180000000000000000e+02,7.280000000000000000e+02
5.660000000000000000e+02,7.190000000000000000e+02
5.170000000000000000e+02,7.080000000000000000e+02
4.660000000000000000e+02,6.990000000000000000e+02
4.230000000000000000e+02,6.950000000000000000e+02
3.620000000000000000e+02,7.010000000000000000e+02
3.180000000000000000e+02,7.100000000000000000e+02
2.750000000000000000e+02,7.200000000000000000e+02
2.290000000000000000e+02,7.200000000000000000e+02
1.910000000000000000e+02,7.210000000000000000e+02
1.610000000000000000e+02,7.200000000000000000e+02
1.350000000000000000e+02,7.310000000000000000e+02
1.240000000000000000e+02,7.590000000000000000e+02
1.300000000000000000e+02,7.750000000000000000e+02
1.510000000000000000e+02,7.730000000000000000e+02
1.850000000000000000e+02,7.720000000000000000e+02
2.360000000000000000e+02,7.660000000000000000e+02
2.880000000000000000e+02,7.590000000000000000e+02
3.450000000000000000e+02,7.500000000000000000e+02
4.030000000000000000e+02,7.510000000000000000e+02
4.620000000000000000e+02,7.520000000000000000e+02
5.070000000000000000e+02,7.510000000000000000e+02
5.440000000000000000e+02,7.510000000000000000e+02
