x,y
6.780000000000000000e+02,4.850000000000000000e+02
6.890000000000000000e+02,4.760000000000000000e+02
7.000000000000000000e+02,4.630000000000000000e+02
7.080000000000000000e+02,4.480000000000000000e+02
7.140000000000000000e+02,4.370000000000000000e+02
7.150000000000000000e+02,4.310000000000000000e+02
7.180000000000000000e+02,4.260000000000000000e+02
7.190000000000000000e+02,4.240000000000000000e+02
7.190000000000000000e+02,4.270000000000000000e+02
7.190000000000000000e+02,4.320000000000000000e+02
7.190000000000000000e+02,4.350000000000000000e+02
7.170000000000000000e+02,4.360000000000000000e+02
7.180000000000000000e+02,4.360000000000000000e+02
7.200000000000000000e+02,4.320000000000000000e+02
7.220000000000000000e+02,4.240000000000000000e+02
7.250000000000000000e+02,4.190000000000000000e+02
7.280000000000000000e+02,4.140000000000000000e+02
7.310000000000000000e+02,4.110000000000000000e+02
7.350000000000000000e+02,4.140000000000000000e+02
7.370000000000000000e+02,4.230000000000000000e+02
7.390000000000000000e+02,4.410000000000000000e+02
7.350000000000000000e+02,4.670000000000000000e+02
7.270000000000000000e+02,5.040000000000000000e+02
7.100000000000000000e+02,5.460000000000000000e+02
6.860000000000000000e+02,5.890000000000000000e+02
6.570000000000000000e+02,6.240000000000000000e+02
6.220000000000000000e+02,6.520000000000000000e+02
5.850000000000000000e+02,6.780000000000000000e+02
5.520000000000000000e+02,6.950000000000000000e+02
5.220000000000000000e+02,7.080000000000000000e+02
5.010000000000000000e+02,7.160000000000000000e+02
4.940000000000000000e+02,7.190000000000000000e+02
5.000000000000000000e+02,7.160000000000000000e+02
5.180000000000000000e+02,7.070000000000000000e+02
5.480000000000000000e+02,6.910000000000000000e+02
5.880000000000000000e+02,6.680000000000000000e+02
6.300000000000000000e+02,6.380000000000000000e+02
6.620000000000000000e+02,6.070000000000000000e+02
6.900000000000000000e+02,5.770000000000000000e+02
7.070000000000000000e+02,5.520000000000000000e+02
7.180000000000000000e+02,5.380000000000000000e+02
7.290000000000000000e+02,5.210000000000000000e+02
7.350000000000000000e+02,5.040000000000000000e+02
7.400000000000000000e+02,4.910000000000000000e+02
7.430000000000000000e+02,4.810000000000000000e+02
7.460000000000000000e+02,4.720000000000000000e+02
7.470000000000000000e+02,4.710000000000000000e+02
7.460000000000000000e+02,4.710000000000000000e+02
7.470000000000000000e+02,4.710000000000000000e+02
7.480000000000000000e+02,4.710000000000000000e+02
7.490000000000000000e+02,4.710000000000000000e+02
7.470000000000000000e+02,4.700000000000000000e+02
7.450000000000000000e+02,4.640000000000000000e+02
7.430000000000000000e+02,4.560000000000000000e+02
7.430000000000000000e+02,4.480000000000000000e+02
7.460000000000000000e+02,4.380000000000000000e+02
7.510000000000000000e+02,4.340000000000000000e+02
7.530000000000000000e+02,4.330000000000000000e+02
7.520000000000000000e+02,4.420000000000000000e+02
7.500000000000000000e+02,4.620000000000000000e+02
7.450000000000000000e+02,4.900000000000000000e+02
7.310000000000000000e+02,5.290000000000000000e+02
7.060000000000000000e+02,5.720000000000000000e+02
6.710000000000000000e+02,6.100000000000000000e+02
6.320000000000000000e+02,6.400000000000000000e+02
5.930000000000000000e+02,6.650000000000000000e+02
5.580000000000000000e+02,6.800000000000000000e+02
5.300000000000000000e+02,6.880000000000000000e+02
5.030000000000000000e+02,6.930000000000000000e+02
4.880000000000000000e+02,6.930000000000000000e+02
4.860000000000000000e+02,6.910000000000000000e+02
4.970000000000000000e+02,6.810000000000000000e+02
5.270000000000000000e+02,6.660000000000000000e+02
5.710000000000000000e+02,6.450000000000000000e+02
6.180000000000000000e+02,6.160000000000000000e+02
6.610000000000000000e+02,5.810000000000000000e+02
6.970000000000000000e+02,5.470000000000000000e+02
7.260000000000000000e+02,5.130000000000000000e+02
7.440000000000000000e+02,4.880000000000000000e+02
7.560000000000000000e+02,4.730000000000000000e+02
7.710000000000000000e+02,4.560000000000000000e+02
7.830000000000000000e+02,4.370000000000000000e+02
7.910000000000000000e+02,4.240000000000000000e+02
7.980000000000000000e+02,4.140000000000000000e+02
8.020000000000000000e+02,4.050000000000000000e+02
8.050000000000000000e+02,4.040000000000000000e+02
8.060000000000000000e+02,4.050000000000000000e+02
8.070000000000000000e+02,4.050000000000000000e+02
8.080000000000000000e+02,4.080000000000000000e+02
8.080000000000000000e+02,4.080000000000000000e+02
8.120000000000000000e+02,4.060000000000000000e+02
8.200000000000000000e+02,3.990000000000000000e+02
8.240000000000000000e+02,3.870000000000000000e+02
8.280000000000000000e+02,3.780000000000000000e+02
8.330000000000000000e+02,3.700000000000000000e+02
8.380000000000000000e+02,3.660000000000000000e+02
8.430000000000000000e+02,3.710000000000000000e+02
8.460000000000000000e+02,3.880000000000000000e+02
8.440000000000000000e+02,4.140000000000000000e+02
8.370000000000000000e+02,4.510000000000000000e+02
8.200000000000000000e+02,4.950000000000000000e+02
7.930000000000000000e+02,5.430000000000000000e+02
7.520000000000000000e+02,5.840000000000000000e+02
7.070000000000000000e+02,6.190000000000000000e+02
6.670000000000000000e+02,6.410000000000000000e+02
6.370000000000000000e+02,6.540000000000000000e+02
6.150000000000000000e+02,6.610000000000000000e+02
5.980000000000000000e+02,6.650000000000000000e+02
5.910000000000000000e+02,6.700000000000000000e+02
5.950000000000000000e+02,6.710000000000000000e+02
6.150000000000000000e+02,6.670000000000000000e+02
6.450000000000000000e+02,6.580000000000000000e+02
6.910000000000000000e+02,6.420000000000000000e+02
7.450000000000000000e+02,6.160000000000000000e+02
7.920000000000000000e+02,5.880000000000000000e+02
8.350000000000000000e+02,5.580000000000000000e+02
8.690000000000000000e+02,5.290000000000000000e+02
8.940000000000000000e+02,5.090000000000000000e+02
9.110000000000000000e+02,4.980000000000000000e+02
9.280000000000000000e+02,4.840000000000000000e+02
9.430000000000000000e+02,4.720000000000000000e+02
9.540000000000000000e+02,4.630000000000000000e+02
9.620000000000000000e+02,4.570000000000000000e+02
9.680000000000000000e+02,4.530000000000000000e+02
9.730000000000000000e+02,4.540000000000000000e+02
9.770000000000000000e+02,4.580000000000000000e+02
9.780000000000000000e+02,4.620000000000000000e+02
9.810000000000000000e+02,4.620000000000000000e+02
9.840000000000000000e+02,4.580000000000000000e+02
9.880000000000000000e+02,4.540000000000000000e+02
9.920000000000000000e+02,4.470000000000000000e+02
9.980000000000000000e+02,4.370000000000000000e+02
1.005000000000000000e+03,4.250000000000000000e+02
1.012000000000000000e+03,4.150000000000000000e+02
1.020000000000000000e+03,4.100000000000000000e+02
1.025000000000000000e+03,4.130000000000000000e+02
1.029000000000000000e+03,4.270000000000000000e+02
1.029000000000000000e+03,4.500000000000000000e+02
1.022000000000000000e+03,4.860000000000000000e+02
1.007000000000000000e+03,5.310000000000000000e+02
9.780000000000000000e+02,5.790000000000000000e+02
9.400000000000000000e+02,6.240000000000000000e+02
9.010000000000000000e+02,6.560000000000000000e+02
8.580000000000000000e+02,6.830000000000000000e+02
8.170000000000000000e+02,6.990000000000000000e+02
7.840000000000000000e+02,7.120000000000000000e+02
7.580000000000000000e+02,7.200000000000000000e+02
7.420000000000000000e+02,7.210000000000000000e+02
7.350000000000000000e+02,7.200000000000000000e+02
7.400000000000000000e+02,7.140000000000000000e+02
