x,y
1.086000000000000000e+03,5.730000000000000000e+02
1.085000000000000000e+03,5.740000000000000000e+02
1.051000000000000000e+03,5.670000000000000000e+02
1.050000000000000000e+03,5.660000000000000000e+02
1.005000000000000000e+03,5.730000000000000000e+02
1.003000000000000000e+03,5.760000000000000000e+02
9.770000000000000000e+02,5.930000000000000000e+02
9.730000000000000000e+02,5.920000000000000000e+02
9.380000000000000000e+02,6.050000000000000000e+02
9.350000000000000000e+02,6.040000000000000000e+02
9.070000000000000000e+02,6.170000000000000000e+02
9.000000000000000000e+02,6.160000000000000000e+02
8.700000000000000000e+02,6.220000000000000000e+02
8.680000000000000000e+02,6.220000000000000000e+02
8.320000000000000000e+02,6.210000000000000000e+02
8.310000000000000000e+02,6.210000000000000000e+02
8.020000000000000000e+02,6.190000000000000000e+02
8.000000000000000000e+02,6.200000000000000000e+02
7.780000000000000000e+02,6.430000000000000000e+02
7.840000000000000000e+02,6.540000000000000000e+02
7.980000000000000000e+02,6.600000000000000000e+02
7.980000000000000000e+02,6.590000000000000000e+02
8.100000000000000000e+02,6.790000000000000000e+02
8.090000000000000000e+02,6.790000000000000000e+02
8.120000000000000000e+02,7.040000000000000000e+02
7.750000000000000000e+02,7.410000000000000000e+02
7.770000000000000000e+02,7.520000000000000000e+02
7.780000000000000000e+02,7.520000000000000000e+02
8.110000000000000000e+02,7.540000000000000000e+02
8.110000000000000000e+02,7.540000000000000000e+02
8.540000000000000000e+02,7.500000000000000000e+02
8.550000000000000000e+02,7.520000000000000000e+02
9.010000000000000000e+02,7.500000000000000000e+02
9.090000000000000000e+02,7.450000000000000000e+02
9.550000000000000000e+02,7.610000000000000000e+02
9.590000000000000000e+02,7.590000000000000000e+02
1.013000000000000000e+03,7.550000000000000000e+02
1.014000000000000000e+03,7.560000000000000000e+02
1.038000000000000000e+03,7.590000000000000000e+02
1.039000000000000000e+03,7.590000000000000000e+02
1.070000000000000000e+03,7.620000000000000000e+02
1.072000000000000000e+03,7.630000000000000000e+02
1.114000000000000000e+03,7.650000000000000000e+02
1.115000000000000000e+03,7.630000000000000000e+02
1.155000000000000000e+03,7.520000000000000000e+02
1.156000000000000000e+03,7.520000000000000000e+02
1.186000000000000000e+03,7.560000000000000000e+02
1.187000000000000000e+03,7.550000000000000000e+02
1.222000000000000000e+03,7.590000000000000000e+02
1.222000000000000000e+03,7.580000000000000000e+02
1.261000000000000000e+03,7.570000000000000000e+02
1.260000000000000000e+03,7.590000000000000000e+02
1.292000000000000000e+03,7.610000000000000000e+02
1.294000000000000000e+03,7.610000000000000000e+02
1.324000000000000000e+03,7.650000000000000000e+02
1.323000000000000000e+03,7.650000000000000000e+02
1.358000000000000000e+03,7.630000000000000000e+02
1.358000000000000000e+03,7.620000000000000000e+02
1.375000000000000000e+03,7.550000000000000000e+02
1.377000000000000000e+03,7.540000000000000000e+02
1.380000000000000000e+03,7.480000000000000000e+02
1.379000000000000000e+03,7.480000000000000000e+02
1.369000000000000000e+03,7.420000000000000000e+02
1.369000000000000000e+03,7.420000000000000000e+02
1.351000000000000000e+03,7.370000000000000000e+02
1.351000000000000000e+03,7.360000000000000000e+02
1.323000000000000000e+03,7.260000000000000000e+02
1.323000000000000000e+03,7.260000000000000000e+02
1.294000000000000000e+03,7.140000000000000000e+02
1.294000000000000000e+03,7.140000000000000000e+02
1.262000000000000000e+03,7.000000000000000000e+02
1.262000000000000000e+03,6.990000000000000000e+02
1.228000000000000000e+03,6.870000000000000000e+02
1.228000000000000000e+03,6.870000000000000000e+02
1.195000000000000000e+03,6.760000000000000000e+02
1.194000000000000000e+03,6.760000000000000000e+02
1.162000000000000000e+03,6.670000000000000000e+02
1.160000000000000000e+03,6.670000000000000000e+02
1.126000000000000000e+03,6.600000000000000000e+02
1.126000000000000000e+03,6.600000000000000000e+02
1.089000000000000000e+03,6.550000000000000000e+02
1.089000000000000000e+03,6.550000000000000000e+02
1.064000000000000000e+03,6.630000000000000000e+02
1.064000000000000000e+03,6.630000000000000000e+02
1.026000000000000000e+03,6.720000000000000000e+02
1.026000000000000000e+03,6.720000000000000000e+02
9.930000000000000000e+02,6.820000000000000000e+02
9.930000000000000000e+02,6.820000000000000000e+02
9.570000000000000000e+02,6.930000000000000000e+02
9.560000000000000000e+02,6.930000000000000000e+02
9.150000000000000000e+02,6.960000000000000000e+02
9.150000000000000000e+02,6.960000000000000000e+02
8.740000000000000000e+02,6.930000000000000000e+02
8.730000000000000000e+02,6.920000000000000000e+02
8.440000000000000000e+02,6.890000000000000000e+02
8.440000000000000000e+02,6.890000000000000000e+02
8.230000000000000000e+02,7.070000000000000000e+02
8.230000000000000000e+02,7.070000000000000000e+02
8.130000000000000000e+02,7.340000000000000000e+02
8.130000000000000000e+02,7.340000000000000000e+02
8.140000000000000000e+02,7.640000000000000000e+02
8.140000000000000000e+02,7.640000000000000000e+02
8.210000000000000000e+02,7.950000000000000000e+02
8.220000000000000000e+02,7.950000000000000000e+02
8.390000000000000000e+02,8.050000000000000000e+02
8.390000000000000000e+02,8.050000000000000000e+02
8.730000000000000000e+02,8.050000000000000000e+02
8.730000000000000000e+02,8.050000000000000000e+02
9.230000000000000000e+02,7.970000000000000000e+02
9.250000000000000000e+02,7.970000000000000000e+02
9.790000000000000000e+02,7.930000000000000000e+02
9.800000000000000000e+02,7.920000000000000000e+02
1.026000000000000000e+03,7.840000000000000000e+02
1.042000000000000000e+03,7.990000000000000000e+02
1.068000000000000000e+03,7.850000000000000000e+02
1.068000000000000000e+03,7.850000000000000000e+02
1.094000000000000000e+03,7.850000000000000000e+02
1.095000000000000000e+03,7.850000000000000000e+02
1.132000000000000000e+03,7.820000000000000000e+02
1.132000000000000000e+03,7.820000000000000000e+02
1.179000000000000000e+03,7.790000000000000000e+02
1.179000000000000000e+03,7.790000000000000000e+02
1.213000000000000000e+03,7.770000000000000000e+02
1.214000000000000000e+03,7.750000000000000000e+02
1.244000000000000000e+03,7.740000000000000000e+02
1.244000000000000000e+03,7.730000000000000000e+02
1.282000000000000000e+03,7.710000000000000000e+02
1.282000000000000000e+03,7.710000000000000000e+02
1.320000000000000000e+03,7.690000000000000000e+02
1.320000000000000000e+03,7.690000000000000000e+02
1.354000000000000000e+03,7.680000000000000000e+02
1.354000000000000000e+03,7.680000000000000000e+02
1.391000000000000000e+03,7.660000000000000000e+02
