x,y
9.710000000000000000e+02,2.920000000000000000e+02
9.720000000000000000e+02,2.930000000000000000e+02
9.740000000000000000e+02,2.940000000000000000e+02
9.740000000000000000e+02,2.940000000000000000e+02
9.760000000000000000e+02,2.950000000000000000e+02
9.760000000000000000e+02,2.950000000000000000e+02
9.760000000000000000e+02,2.960000000000000000e+02
9.760000000000000000e+02,2.960000000000000000e+02
9.760000000000000000e+02,2.960000000000000000e+02
9.760000000000000000e+02,2.980000000000000000e+02
9.770000000000000000e+02,2.970000000000000000e+02
9.780000000000000000e+02,2.970000000000000000e+02
9.780000000000000000e+02,2.970000000000000000e+02
9.780000000000000000e+02,2.970000000000000000e+02
9.780000000000000000e+02,2.960000000000000000e+02
9.790000000000000000e+02,2.950000000000000000e+02
9.780000000000000000e+02,2.950000000000000000e+02
9.770000000000000000e+02,2.940000000000000000e+02
9.770000000000000000e+02,2.940000000000000000e+02
9.750000000000000000e+02,2.950000000000000000e+02
9.730000000000000000e+02,2.960000000000000000e+02
9.730000000000000000e+02,2.970000000000000000e+02
9.740000000000000000e+02,3.010000000000000000e+02
9.740000000000000000e+02,3.010000000000000000e+02
9.750000000000000000e+02,3.080000000000000000e+02
9.750000000000000000e+02,3.080000000000000000e+02
9.760000000000000000e+02,3.170000000000000000e+02
9.750000000000000000e+02,3.170000000000000000e+02
9.760000000000000000e+02,3.260000000000000000e+02
9.760000000000000000e+02,3.250000000000000000e+02
9.760000000000000000e+02,3.290000000000000000e+02
9.770000000000000000e+02,3.300000000000000000e+02
9.790000000000000000e+02,3.360000000000000000e+02
9.790000000000000000e+02,3.360000000000000000e+02
9.820000000000000000e+02,3.430000000000000000e+02
9.830000000000000000e+02,3.430000000000000000e+02
9.910000000000000000e+02,3.520000000000000000e+02
9.920000000000000000e+02,3.510000000000000000e+02
9.910000000000000000e+02,3.540000000000000000e+02
9.930000000000000000e+02,3.540000000000000000e+02
9.950000000000000000e+02,3.560000000000000000e+02
9.940000000000000000e+02,3.560000000000000000e+02
9.950000000000000000e+02,3.570000000000000000e+02
9.960000000000000000e+02,3.580000000000000000e+02
9.980000000000000000e+02,3.600000000000000000e+02
9.990000000000000000e+02,3.600000000000000000e+02
1.000000000000000000e+03,3.600000000000000000e+02
1.000000000000000000e+03,3.600000000000000000e+02
1.002000000000000000e+03,3.600000000000000000e+02
1.002000000000000000e+03,3.600000000000000000e+02
1.003000000000000000e+03,3.590000000000000000e+02
1.003000000000000000e+03,3.590000000000000000e+02
1.004000000000000000e+03,3.590000000000000000e+02
1.004000000000000000e+03,3.580000000000000000e+02
1.004000000000000000e+03,3.550000000000000000e+02
1.004000000000000000e+03,3.550000000000000000e+02
1.003000000000000000e+03,3.520000000000000000e+02
1.002000000000000000e+03,3.510000000000000000e+02
1.001000000000000000e+03,3.500000000000000000e+02
1.001000000000000000e+03,3.500000000000000000e+02
9.980000000000000000e+02,3.510000000000000000e+02
9.980000000000000000e+02,3.510000000000000000e+02
9.950000000000000000e+02,3.530000000000000000e+02
9.950000000000000000e+02,3.530000000000000000e+02
9.940000000000000000e+02,3.540000000000000000e+02
9.940000000000000000e+02,3.540000000000000000e+02
9.930000000000000000e+02,3.550000000000000000e+02
9.930000000000000000e+02,3.550000000000000000e+02
9.950000000000000000e+02,3.550000000000000000e+02
9.950000000000000000e+02,3.550000000000000000e+02
9.980000000000000000e+02,3.550000000000000000e+02
9.980000000000000000e+02,3.550000000000000000e+02
1.000000000000000000e+03,3.550000000000000000e+02
1.000000000000000000e+03,3.560000000000000000e+02
1.000000000000000000e+03,3.560000000000000000e+02
1.000000000000000000e+03,3.560000000000000000e+02
1.003000000000000000e+03,3.580000000000000000e+02
1.003000000000000000e+03,3.570000000000000000e+02
1.007000000000000000e+03,3.580000000000000000e+02
1.008000000000000000e+03,3.580000000000000000e+02
1.013000000000000000e+03,3.570000000000000000e+02
1.014000000000000000e+03,3.580000000000000000e+02
1.015000000000000000e+03,3.550000000000000000e+02
1.016000000000000000e+03,3.550000000000000000e+02
1.017000000000000000e+03,3.530000000000000000e+02
1.016000000000000000e+03,3.530000000000000000e+02
1.019000000000000000e+03,3.490000000000000000e+02
1.018000000000000000e+03,3.490000000000000000e+02
1.020000000000000000e+03,3.470000000000000000e+02
1.021000000000000000e+03,3.460000000000000000e+02
1.021000000000000000e+03,3.450000000000000000e+02
1.020000000000000000e+03,3.430000000000000000e+02
1.021000000000000000e+03,3.400000000000000000e+02
1.020000000000000000e+03,3.380000000000000000e+02
1.021000000000000000e+03,3.330000000000000000e+02
1.020000000000000000e+03,3.320000000000000000e+02
1.022000000000000000e+03,3.290000000000000000e+02
1.022000000000000000e+03,3.290000000000000000e+02
1.023000000000000000e+03,3.270000000000000000e+02
1.023000000000000000e+03,3.260000000000000000e+02
1.022000000000000000e+03,3.250000000000000000e+02
1.022000000000000000e+03,3.250000000000000000e+02
